Year,huc12,Safflower,Open_Water,Other_Hay/Non_Alfalfa,Deciduous_Forest,Oats,Fallow/Idle_Cropland,Sod/Grass_Seed,Winter_Wheat,Herbaceous_Wetlands,Shrubland,Spring_Wheat,Woody_Wetlands,Barley,Evergreen_Forest,Developed/Low_Intensity,Grass/Pasture,Canola,Corn,Triticale,Alfalfa,Developed/Open_Space,Barren,Developed/High_Intensity,Developed/Med_Intensity,Sugarbeets,Potatoes,Mixed_Forest,Mustard,Sorghum,Durum_Wheat,Other_Crops,Peas,Dry_Beans,Dbl_Crop_Triticale/Corn,Millet,Flaxseed,Rye,Other_Small_Grains,Sunflower,Dbl_Crop_WinWht/Corn,Onions,Herbs,Lentils,Speltz,Christmas_Trees,Apples,Tomatoes,Wetlands,Forest,Peaches,Clover/Wildflowers,Sweet_Corn,Misc_Vegs_&_Fruits,Perennial_Ice/Snow,Mint,Chick_Peas,Buckwheat,Dbl_Crop_Barley/Corn,Radishes,Cherries,Camelina,Soybeans,Nonag/Undefined,Water,Developed,Clouds/No_Data
2005,170402080404,,,,,1.0,13435.96862745098,,1207.5215686274507,,,25.0,,125.05882352941177,,,71212.05098039219,,43.63529411764706,,2185.0313725490205,,,,,,3.0,,,,,,,,,,,,139.65098039215684,,,,,,,,,,,26893.09803921569,,,,,,,,,,,,,,172.02745098039213,,2050.9098039215687,
2005,170402080502,,,,,,4563.72156862745,,2121.7882352941174,,,66.95686274509804,,142.1921568627451,,,17457.403921568628,,31.0,,2359.8078431372555,,,,,,11.0,,,,,,,,,,,,49.98039215686275,,,,,,,,,,,20845.545098039212,,,,,,,,,,,,,,38.0,,767.9254901960785,
2005,170402080501,,,,,2.4862745098039216,18570.77254901962,,1063.1058823529415,,,15.0,,167.49803921568628,,,41987.635294117674,,55.31372549019608,,7807.482352941177,,,,,1.0,43.0,,,,,,,,,,,,68.30980392156863,,,,,,,,,,,44827.55294117647,,,,,,,,,,,,,,80.02745098039216,,855.9019607843137,
2005,170402080206,,,,,11.0,4597.043137254901,,398.1294117647058,,,101.72156862745098,,1052.6705882352944,,,27186.38039215688,,78.45490196078431,,1118.8117647058825,,,,,1.0,23.0,,,,,,,,,,,,86.02745098039216,,,,,,,,,,,49200.70196078433,,,,,,,,,,,,,,115.75294117647059,,956.572549019608,20.0
2005,170402080103,,,,,,3705.007843137254,,98.27843137254902,,,,,,,,5875.674509803919,,11.125490196078431,,116.20392156862745,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,31850.01960784314,,,,,,,,,,,,,,6.964705882352941,,75.69019607843137,
2005,170402080101,,,,,,15088.541176470588,,493.74117647058824,,,,,6.0,,,65410.30588235299,,1.0,,2236.521568627451,,,,,,2.0,,,,,,,,,,,,156.49803921568628,,,,,,,,,,,24705.843137254902,,,,,,,,,,,,,,11.0,,316.09411764705885,
2005,170402080507,,,,,,4725.572549019609,,5495.439215686274,,,634.2352941176472,,844.7960784313725,,,63408.29019607836,,94.27058823529411,,2127.5529411764696,,,,,24.57254901960784,1109.5725490196078,,,,,,,,,,,,356.27058823529416,,,,,,,,,,,5093.799999999999,,,,,,,,,,,,,,513.5176470588235,88.0078431372549,19946.674509803914,2.0
2005,170402080606,,,,,,5817.301960784313,,17019.45490196079,,,1740.329411764706,,1438.9960784313726,,,29220.9843137255,,225.3137254901961,,2968.5019607843133,,,,,48.0,15065.776470588236,,,,,,,,,,,,1358.7803921568627,,,,,,,,,,,2687.2941176470595,,,,,,,,,,,,,,375.81960784313725,2.0,2569.3137254901962,1.0
2005,170402080607,,,,,,14179.729411764707,,32303.40784313725,,,2626.83137254902,,1731.6901960784312,,,46163.45882352937,,550.9372549019608,,3078.141176470588,,,,,66.11764705882354,12535.721568627456,,,,,,,,,,,,1182.0352941176473,,,,,,,,,,,4140.490196078432,,,,,,,,,,,,,,973.9686274509804,3201.439215686272,1806.4313725490197,19.0
2005,170402080605,2.0,,,,,9999.215686274514,,29218.30196078431,,,1956.4392156862746,,3197.007843137255,,,117503.89411764703,,517.6627450980392,,3506.5607843137254,,,,,44.0,17196.61960784314,,,,,,,,,,,,1924.505882352941,,,,,,,,,,,8564.623529411769,,,,,,,,,,,,,,284.2980392156863,3.0,6077.458823529411,1.0
