huc12,pr_slope,pr_p,pr_trend,etr_slope,etr_p,etr_trend,tmmn_slope,tmmn_p,tmmn_trend,tmmx_slope,tmmx_p,tmmx_trend,tmean_slope,tmean_p,tmean_trend
170402080101,3.635731138268307,0.09653382910802089,no trend,-4.228260906439753,0.13026223878322818,no trend,0.03590453453671098,0.14334161203712004,no trend,-0.0344368852855636,0.30916269487358283,no trend,0.0005262411742740377,1.0,no trend
170402080102,3.557323644283512,0.11812849523841984,no trend,-4.317624642126029,0.10689967587922089,no trend,0.032970486848233574,0.18863315303694828,no trend,-0.03389789044849353,0.24369251012790505,no trend,-0.002059434704934378,0.9012978441563575,no trend
170402080103,5.244392286870284,0.06283881974106831,no trend,-4.676828432559807,0.0701839854914923,no trend,-0.00036155874644182203,0.9802109790485438,no trend,-0.046961688162048904,0.157405663974874,no trend,-0.02141862795459349,0.35874300337869447,no trend
170402080104,4.63637361640642,0.08698814891833662,no trend,-4.718544537053466,0.08698814891833662,no trend,0.007789358957071428,0.7849697273207377,no trend,-0.03577759287257254,0.22420756495904914,no trend,-0.015480255290021623,0.4419310120112123,no trend
170402080105,3.1086185996171696,0.1724913614849526,no trend,-5.449176950021787,0.07821934455010537,no trend,0.02877415737600414,0.22420756495904914,no trend,-0.04374628956467552,0.20586252630799207,no trend,-0.011021570273939116,0.6024416860423838,no trend
170402080106,3.0820430406665325,0.14334161203712004,no trend,-5.014992513522936,0.08698814891833662,no trend,0.03341557714785923,0.157405663974874,no trend,-0.04000150080858411,0.22420756495904914,no trend,-0.0036440943480262524,0.823349012100195,no trend
170402080107,3.105718861708173,0.14334161203712004,no trend,-5.795131551391111,0.05614106379127515,no trend,0.030881815236592225,0.14334161203712004,no trend,-0.045718954043466466,0.20586252630799207,no trend,-0.009918637451771399,0.7471063273347309,no trend
170402080108,3.7990529573397147,0.10689967587922089,no trend,-5.9693766753415956,0.05004866332140967,no trend,0.01774691434305131,0.33335824348826115,no trend,-0.05161328084295384,0.11812849523841984,no trend,-0.024029719632897954,0.28615732110495795,no trend
170402080201,3.3503371470240317,0.08698814891833662,no trend,-4.83276771090722,0.08698814891833662,no trend,0.022951509228669037,0.22420756495904914,no trend,-0.04300721304476665,0.14334161203712004,no trend,-0.00499948074235518,0.9012978441563575,no trend
170402080202,3.2019858364314144,0.13026223878322818,no trend,-6.493961126447337,0.02399553835367718,decreasing,0.024233805162582323,0.28615732110495795,no trend,-0.05891732547831646,0.07821934455010537,no trend,-0.015613974698962677,0.5030370130775135,no trend
170402080203,3.846010517395216,0.10689967587922089,no trend,-6.40005803953392,0.02399553835367718,decreasing,0.022800378831835177,0.28615732110495795,no trend,-0.07264051364784535,0.05004866332140967,no trend,-0.021999703816729253,0.24369251012790505,no trend
170402080204,3.4489822729128408,0.20586252630799207,no trend,-7.134001154726258,0.018452126856443263,decreasing,0.025058286500631036,0.1724913614849526,no trend,-0.07633762846105147,0.02727273655786444,decreasing,-0.02817750024297183,0.20586252630799207,no trend
170402080205,3.669667509706536,0.10689967587922089,no trend,-6.62100025062065,0.02727273655786444,decreasing,0.019245982345591342,0.30916269487358283,no trend,-0.05834616481761338,0.09653382910802089,no trend,-0.02744933570133539,0.22420756495904914,no trend
170402080206,6.69772125610249,0.06283881974106831,no trend,-5.919595440369125,0.02399553835367718,decreasing,-0.021100710210602343,0.6024416860423838,no trend,-0.057749928315540246,0.07821934455010537,no trend,-0.03740109936527331,0.14334161203712004,no trend
170402080207,4.596953401405173,0.07821934455010537,no trend,-6.381442203342332,0.05004866332140967,no trend,0.01263690047396913,0.4130458869045295,no trend,-0.06094932477765885,0.10689967587922089,no trend,-0.023593258835790165,0.24369251012790505,no trend
