Year,UID,Shrub/Scrub,Open_Water,Emergent_Herbaceous_Wetlands,Barren_Land,Grassland/Herbaceous,"Developed,_High_Intensity",Woody_Wetlands,Evergreen_Forest,Cultivated_Crops,Pasture/Hay,"Developed,_Medium_Intensity",Deciduous_Forest,"Developed,_Low_Intensity","Developed,_Open_Space"
2023,101,54.60076730177027,0.3218467575799616,0.6440302289060257,0.0016894842917583284,0.9881530971575156,0.0025945651623431472,0.5953745010380848,19.030954212990412,16.165236050095597,2.0243807774461993,0.0480237093044554,3.4625254128665977,0.8254704304530778,1.2889534709376953
2023,102,61.08767937680631,0.06809957992718267,1.3803565938602456,0.004023259283274042,1.4426994790886216,0.009703154742013866,0.27527167858785795,13.43692010193149,13.713163488124788,2.2114475750011184,0.24368213255795723,2.7610373222775113,1.5417004281694537,1.8242158296421913
2023,103,43.256662727606944,4.090327497712815,2.0088335058925733,0.037795723797457215,9.176767003448848,0.5155003168005243,4.6770145999754345,7.143620886816615,18.72606045449155,0.673364712176064,1.9323686561145672,1.5678637738653027,4.449122122094729,1.7446980192065746
2010,101,58.57192473828302,0.3123132390764682,0.653925779757753,0.0074216631387955135,0.5096464240885399,0.0019911779152866015,0.5935643392969151,17.551747300739443,14.873793074363281,1.9036484316265305,0.045213817712770506,3.0808373109705154,0.8108589941763163,1.0831137088543754
2010,102,62.21098845011819,0.0554381463004085,1.320185201344221,0.004023259283274043,2.8856397968817444,0.008579008765804945,0.27444869700321134,12.433493250233136,13.099667028193881,2.1280832760285735,0.23132163130087208,2.2821355909469982,1.5101029933958607,1.555893670203851
2010,103,43.4950633420748,4.07716335940494,1.8888584320590671,0.029593856848586737,9.162243709223992,0.510256987058375,4.8138377981313525,6.572182262437251,20.163405487914172,0.6237921118260245,1.7758992118274455,1.23772649858739,4.24694091813395,1.4030360244726547
2007,101,59.515492723576955,0.23151968669559664,0.6535637474095191,0.022989054112854398,0.6255095531356873,0.0019911779152866015,0.5948917912404396,17.166363629421973,14.313271877072333,1.9332745088345573,0.03770910009408603,3.056102456422844,0.7448924411239978,1.1024282529438802
2007,102,62.49527139422183,0.05857392191825443,1.2897149288311895,0.004023259283274042,3.2414270098815914,0.008224015299633703,0.27823529397570446,12.178698662074646,12.898740262297212,2.136840013549337,0.21511026301238548,2.1917465977379815,1.4256050355503,1.57778934236667
2007,103,43.08067271801276,2.8629375840391056,1.8900873996117784,0.697321227247263,10.236442220866069,0.5008587659352147,4.889543790274868,6.459197853010913,20.184418314146058,0.7311617171755093,1.7103081396841067,1.1853860034622143,4.100653211500356,1.4710110550337758
2009,101,59.14243376918114,0.3471890219563365,0.6494003754048289,0.0010860970447017825,0.49365973813338915,0.0019911779152866015,0.5928402746004473,17.40828429252213,14.455128928722678,1.9023810817852622,0.04364501087042349,3.0869918608904925,0.7803701915162238,1.0945981794566848
