Year,huc12,Shrub/Scrub,Open_Water,Emergent_Herbaceous_Wetlands,Barren_Land,Grassland/Herbaceous,"Developed,_High_Intensity",Woody_Wetlands,Evergreen_Forest,Cultivated_Crops,Pasture/Hay,"Developed,_Medium_Intensity",Deciduous_Forest,"Developed,_Low_Intensity","Developed,_Open_Space"
2000,170402080108,77385.05098039217,14.0,1403.8470588235296,,1151.0,1.0,371.3921568627451,8367.815686274509,22573.721568627454,11865.333333333336,6.0,1950.043137254902,472.6078431372549,2219.8470588235296
2000,170402080305,61647.08627450986,106.88627450980393,,11.0,517.0,,10.0,4226.564705882352,7814.26274509804,183.0,,185.70196078431374,242.84705882352944,1042.964705882353
2000,170402080306,47710.22745098041,0.11372549019607843,292.3450980392156,,2091.8823529411766,,12.0,3120.537254901961,27638.47843137256,1020.4627450980394,9.0,121.92549019607843,335.1921568627451,1749.6666666666665
2000,170402080201,39408.32941176469,2.0,113.0,,9.0,,39.90588235294118,3560.8666666666672,17906.223529411764,1.0,,2423.152941176471,36.0078431372549,624.7960784313727
2000,170402080203,24914.482352941188,,,,1.0,,2.0,7618.8745098039235,4109.454901960784,,18.76078431372549,238.0,239.49803921568628,517.8352941176471
2000,170402080202,95155.4509803922,,24.0,,782.0,1.0,39.0,13791.874509803914,43236.50980392165,221.0,75.0,810.1450980392158,1388.5372549019608,2386.3137254901953
2000,170402080204,48038.77254901965,14.0,15.0,,349.2549019607843,16.0,19.0,20821.203921568627,85381.0313725491,4.0,180.0,547.5921568627451,2856.980392156862,3530.403921568628
2000,170402080208,36491.86666666666,,160.0,,336.0,,52.898039215686275,20221.972549019603,4474.0,208.21960784313725,48.898039215686275,130.40392156862745,456.7372549019608,562.4470588235295
2000,170402080209,54108.5568627451,6.0,275.7882352941176,,115.67450980392157,,355.81960784313725,56106.64313725497,1817.5019607843137,1064.956862745098,,795.8470588235294,416.9607843137255,979.7254901960785
2000,170402080207,62097.82745098039,4.0,1497.0,,63.0,,1871.0470588235294,29460.384313725488,5551.458823529412,1802.356862745098,21.462745098039214,6114.5568627450975,1256.6352941176467,720.0274509803922
2000,170402080210,51401.854901960796,6.0,839.5725490196079,,1358.1450980392156,22.0,776.721568627451,18457.96470588235,17132.956862745108,2876.537254901961,199.87058823529412,2045.5764705882352,1575.0941176470587,1771.8745098039212
